MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIBUS,199104,1166.598,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199105,1288.331,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199106,1384.892,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199107,1511.871,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199108,1512.547,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199109,1355.019,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199110,1302.117,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199111,1342.738,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199112,1402.611,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199113,16249.709,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199201,1441.298,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199202,1270.666,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199203,1323.915,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199204,1241.349,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199205,1279.281,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199206,1353.841,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199207,1558.504,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199208,1491.399,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199209,1392.792,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199210,1326.058,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199211,1321.956,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199212,1464.535,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199213,16465.595,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199301,1466.971,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199302,1348.861,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199303,1417.784,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199304,1259.747,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199305,1268.948,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199306,1439.882,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199307,1663.92,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199308,1647.333,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199309,1405.521,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199310,1372.721,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199311,1388.288,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199312,1515.952,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199313,17195.927,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199401,1612.77,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199402,1382.422,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199403,1396.008,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199404,1268.057,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199405,1332.352,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199406,1544.51,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199407,1615.461,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199408,1598.42,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199409,1403.33,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199410,1361.138,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199411,1306.846,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199412,1439.562,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199413,17260.875,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199501,1504.971,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199502,1343.82,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199503,1339.336,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199504,1245.378,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199505,1320.072,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199506,1460.965,1,Coal Consumed by the Electric Power Sector,Trillion Btu
